collection_id,collection_name,doi,pmid,pmcid,source,secondary_doi
1051,The Neural Basis of Typewriting: A Functional MRI Study,10.1371/journal.pone.0134131,26218431,4517759,neurovault,
1030,Goal or Gold: Overlapping Reward Processes in Soccer Players upon Scoring and Winning Money,10.1371/journal.pone.0122798,25875594,4398371,neurovault,
135,Early small vessel disease affects frontoparietal and cerebellar hubs in close correlation with clinical symptoms—a resting-state fMRI study,10.1038/jcbfm.2014.70,24780899,4083384,neurovault,
823,ALE meta-analysis on facial judgments of trustworthiness and attractiveness,10.1007/s00429-010-0287-4,20978908,4020344,neurovault,
841,Specific and disease stage-dependent episodic memory-related brain activation patterns in Alzheimer’s disease: a coordinate-based meta-analysis,10.1007/s00429-014-0744-6,24633738,8004564,neurovault,
973,Similarly expanded bilateral temporal lobe volumes in female and male children with autism spectrum disorder,10.1016/j.bpsc.2015.11.006,29560875,6941659,neurovault,
307,Anticipatory brain activity predicts the success or failure of subsequent emotion regulation,10.1093/scan/nss148,23202664,3989121,neurovault,
1424,An individual differences analysis of the neurocognitive architecture of the semantic system at rest,10.1016/j.bandc.2016.07.003,27662589,5090046,neurovault,
4283,"Whole-Brain Network Connectivity Underlying the Human Speech Articulation as Emerged Integrating Direct Electric Stimulation, Resting State fMRI and Tractography",10.3389/fnhum.2018.00405,30364298,6193478,neurovault,
1467,A novel measure to determine viewing priority and its neural correlates in the human brain,10.1167/16.6.3,27058271,,neurovault,
1142,High and low sensation seeking adolescents show distinct patterns of brain activity during reward processing,10.1016/j.neuroimage.2012.11.003,23142276,3604176,neurovault,
3755,Impact of short- and long-term mindfulness meditation training on amygdala reactivity to emotional stimuli,10.1016/j.neuroimage.2018.07.013,29990584,6671286,neurovault,
1908,Neuroanatomical basis of concern-based altruism in virtual environment,10.1016/j.neuropsychologia.2017.02.015,28237740,,neurovault,
1597,Rostro-caudal Architecture of the Frontal Lobes in Humans,10.1093/cercor/bhw215,27461122,6248461,neurovault,
833,A quantitative meta-analysis and review of motor learning in the human brain,10.1016/j.neuroimage.2012.11.020,23194819,3555187,neurovault,
3419,μ-opioid receptor system mediates reward processing in humans,10.1038/s41467-018-03848-y,29662095,5902580,neurovault,
421,Differential Neural Activation Patterns in Patients with Parkinson's Disease and Freezing of Gait in Response to Concurrent Cognitive and Motor Load,10.1371/journal.pone.0052602,23382821,3559645,neurovault,
439,NeuroVault.org: a web-based repository for collecting and sharing unthresholded statistical maps of the human brain,10.3389/fninf.2015.00008,25914639,4392315,neurovault,
2043,Insights into neuroepigenetics through human histone deacetylase PET imaging,10.1126/scitranslmed.aaf7551,27510902,5784409,neurovault,
4017,The hidden identity of faces: a case of lifelong prosopagnosia,10.1186/s40359-019-0278-z,30670082,6343346,neurovault,
110,The Modular Neuroarchitecture of Social Judgments on Faces,10.1093/cercor/bhr166,21725038,3450920,neurovault,
42,Triangulating a Cognitive Control Network Using Diffusion-Weighted Magnetic Resonance Imaging (MRI) and Functional MRI,10.1523/JNEUROSCI.0519-07.2007,17409238,6672420,neurovault,
1880,"Individual variation in intentionality in the mind-wandering state is reflected in the integration of the default-mode, fronto-parietal, and limbic networks",10.1016/j.neuroimage.2016.11.025,27864082,,neurovault,
1470,Organizing conceptual knowledge in humans with a gridlike code,10.1126/science.aaf0941,27313047,5248972,neurovault,
4468,Neural substrates of the influence of emotional cues on cognitive control in risk-taking adolescents,10.1016/j.dcn.2018.04.007,29729493,6969196,neurovault,
654,Cortical representation of the constituent structure of sentences,10.1073/pnas.1018711108,21224415,3038732,neurovault,
1942,An MRI based average macaque monkey stereotaxic atlas and space (MNI monkey space),10.1016/j.neuroimage.2011.01.040,21256229,,neurovault,
2374,The Basolateral Amygdala Is Essential for Rapid Escape: A Human and Rodent Study,10.1016/j.cell.2018.09.028,30340041,6198024,neurovault,
1009,Neural Reactivity to Emotional Faces May Mediate the Relationship Between Childhood Empathy and Adolescent Prosocial Behavior,10.1111/cdev.12630,28262939,5448462,neurovault,
1191,Longitudinal Analysis of Image Time Series with Diffeomorphic Deformations: A Computational Framework Based on Stationary Velocity Fields,10.3389/fnins.2016.00236,27375408,4891339,neurovault,
723,Activation in inhibitory brain regions during food choice correlates with temptation strength and self-regulatory success in weight-concerned women,10.3389/fnins.2014.00308,25324714,4179768,neurovault,
3,The Neural Basis of Loss Aversion in Decision-Making Under Risk,10.1126/science.1134239,17255512,,neurovault,
2426,Characterization and Correction of Geometric Distortions in 814 Diffusion Weighted Images,10.1371/journal.pone.0152472,27027775,4814112,neurovault,
3150,The impact of self-distancing on emotion explosiveness and accumulation: An fMRI study,10.1371/journal.pone.0206889,30399153,6219793,neurovault,
3396,"Instructed knowledge shapes feedback-driven aversive learning in striatum and orbitofrontal cortex, but not the amygdala",10.7554/eLife.15192,27171199,4907691,neurovault,
1072,Women’s Preference for a Male Acquaintance Enhances Social Reward Processing of Material Goods in the Anterior Cingulate Cortex,10.1371/journal.pone.0136168,26301954,4547715,neurovault,
6064,The functional anatomy of cognitive control: A domain‐general brain network for uncertainty processing,10.1002/cne.24804,31674015,,neurovault,
6074,A probabilistic atlas of human brainstem pathways based on connectome imaging data,10.1016/j.neuroimage.2017.12.042,29253653,5856609,neurovault,
298,Great expectations: neural computations underlying the use of social norms in decision-making,10.1093/scan/nsr094,22198968,3594719,neurovault,
3259,Acute Stress Impairs Self-Control in Goal-Directed Choice by Altering Multiple Functional Connections within the Brain’s Decision Circuits,10.1016/j.neuron.2015.07.005,26247866,,neurovault,
1073,"Cortical morphological markers in children with autism: a structural magnetic resonance imaging study of thickness, area, volume, and gyrification",10.1186/s13229-016-0076-x,26816612,4727390,neurovault,
1126,Evaluating cognitive models of visual word recognition using fMRI: Effects of lexical and sublexical variables,10.1016/j.neuroimage.2016.01.013,26806289,,neurovault,
571,Acoustic richness modulates the neural networks supporting intelligible speech processing,10.1016/j.heares.2015.12.008,26723103,4798890,neurovault,
1446,An automated labeling system for subdividing the human cerebral cortex on MRI scans into gyral based regions of interest,10.1016/j.neuroimage.2006.01.021,16530430,,neurovault,
655,Temporal Tuning Properties along the Human Ventral Visual Stream,10.1523/JNEUROSCI.2467-12.2012,23055513,6622391,neurovault,
1029,Detecting Static and Dynamic Differences between Eyes-Closed and Eyes-Open Resting States Using ASL and BOLD fMRI,10.1371/journal.pone.0121757,25816237,4376626,neurovault,
1447,Automatic parcellation of human cortical gyri and sulci using standard anatomical nomenclature,10.1016/j.neuroimage.2010.06.010,20547229,2937159,neurovault,
2678,Uncoupling protein 2 haplotype does not affect human brain structure and function in a sample of community-dwelling older adults,10.1371/journal.pone.0181392,28771482,5542610,neurovault,
1448,Tracking thoughts: Exploring the neural architecture of mental time travel during mind-wandering,10.1016/j.neuroimage.2016.12.031,27989779,,neurovault,
46,Consistency and variability in functional localisers,10.1016/j.neuroimage.2009.03.014,19289173,2686646,neurovault,
4862,Alterations in adolescent dopaminergic systems as a function of early mother-toddler attachment: A prospective longitudinal examination,10.1016/j.ijdevneu.2019.06.010,31254598,,neurovault,
1873,Adaptive Adolescent Flexibility: Neurodevelopment of Decision-making and Learning in a Risky Context,10.1162/jocn_a_01061,28129057,5362273,neurovault,
1244,Dominant hemisphere functional networks compensate for structural connectivity loss to preserve phonological retrieval with aging,10.1002/brb3.495,27688934,5036427,neurovault,
1186,Amplified Striatal Responses to Near-Miss Outcomes in Pathological Gamblers,10.1038/npp.2016.43,27006113,4987843,neurovault,
1351,"Neural processing of negative emotional stimuli and the influence of age, sex and and task-related characteristics",10.1016/j.neubiorev.2016.04.020,27168344,,neurovault,
3582,Contributions of default mode network stability and deactivation to adolescent task engagement,10.1038/s41598-018-36269-4,30575799,6303343,neurovault,
1827,Adolescent neurodevelopment of cognitive control and risk-taking in negative family contexts,10.1016/j.neuroimage.2015.09.063,26434803,4651739,neurovault,
507,Neural Mechanisms Underlying Human Consensus Decision-Making,10.1016/j.neuron.2015.03.019,25864634,4409560,neurovault,
2860,Anatomical and functional organization of the human substantia nigra and its connections,10.7554/eLife.26653,28826495,5606848,neurovault,
44,Interactive memory systems in the human brain,10.1038/35107080,11734855,,neurovault,
39,Decreasing Ventromedial Prefrontal Cortex Activity During Sequential Risk-Taking: An fMRI Investigation of the Balloon Analog Risk Task,10.3389/fnins.2012.00080,22675289,3366349,neurovault,
17,Medial and Lateral Networks in Anterior Prefrontal Cortex Support Metacognitive Ability for Memory and Perception,10.1523/JNEUROSCI.0786-13.2013,24133268,6618531,neurovault,
1255,MRI visual rating scales in the diagnosis of dementia: evaluation in 184 post-mortem confirmed cases,10.1093/brain/aww005,26936938,4806219,neurovault,
43,Modulation of competing memory systems by distraction,10.1073/pnas.0602659103,16868087,1544246,neurovault,
1080,Graph coarse-graining reveals differences in the module-level structure of functional brain networks,10.1111/ejn.13392,27602806,,neurovault,
1158,A structural and functional magnetic resonance imaging dataset of brain tumour patients,10.1038/sdata.2016.3,26836205,4736501,neurovault,
431,Multiple brain networks contribute to the acquisition of bias in perceptual decision-making,10.3389/fnins.2015.00063,25798082,4350407,neurovault,
101,Dissociable Effects of Top-Down and Bottom-Up Attention during Episodic Encoding,10.1523/JNEUROSCI.0152-11.2011,21880922,3172893,neurovault,
2292,Brain mechanisms underlying cue-based memorizing during free viewing of movie Memento,10.1016/j.neuroimage.2018.01.068,29409793,,neurovault,
